日期,股票代號,股票名稱,外陸資買賣超股數(不含外資自營商),投信買賣超股數,借券張數,融資張數,融券張數
2018-01-15,1264,德麥,-12.448,0.0,0.0,-1.0,0.0
2018-01-15,1336,台翰,59.0,0.0,0.0,-118.0,-1.0
2018-01-15,1565,精華,-33.0,-2.0,0.0,14.0,-1.0
2018-01-15,1566,捷邦,-12.0,0.0,0.0,34.0,2.0
2018-01-15,1569,濱川,-108.0,286.0,0.0,122.0,24.0
2018-01-15,1580,新麥,4.0,0.0,0.0,0.0,0.0
2018-01-15,1584,精剛,-1.0,0.0,0.0,7.0,0.0
2018-01-15,1586,和勤,466.0,0.0,0.0,-239.0,5.0
2018-01-15,1591,駿吉-KY,0.0,0.0,0.0,-8.0,0.0
2018-01-15,1593,祺驊,1.0,0.0,0.0,-5.0,15.0
2018-01-15,1595,川寶,2.0,0.0,0.0,0.0,0.0
2018-01-15,1597,直得,-50.0,205.0,0.0,-113.0,22.0
2018-01-15,1599,宏佳騰,-1.0,0.0,0.0,-1.0,0.0
2018-01-15,1752,南光,48.0,0.0,0.0,-4.0,1.0
2018-01-15,1784,訊聯,6.0,0.0,0.0,-4.0,-1.0
2018-01-15,1785,光洋科,696.0,0.0,0.0,-528.0,-139.0
2018-01-15,1787,福盈科,-38.0,80.0,0.0,-35.0,0.0
2018-01-15,1795,美時,17.0,0.0,0.0,51.0,0.0
2018-01-15,1799,易威,0.0,0.0,0.0,-1.0,0.0
2018-01-15,1815,富喬,771.0,42.0,0.0,1961.0,534.0
2018-01-15,2064,晉椿,1.0,0.0,0.0,7.0,0.0
2018-01-15,2067,嘉鋼,-3.0,0.0,,,
2018-01-15,2221,大甲,28.0,0.0,0.0,-22.0,4.0
2018-01-15,2233,宇隆,68.0,10.0,0.0,1.0,0.0
2018-01-15,2235,謚源,-25.0,0.0,0.0,11.0,-3.0
2018-01-15,2640,大車隊,-49.0,0.0,0.0,-23.0,-2.0
2018-01-15,2726,雅茗-KY,-4.0,0.0,0.0,-7.0,0.0
2018-01-15,2732,六角,1.0,0.0,0.0,11.0,10.0
2018-01-15,2916,滿心,-4.0,0.0,0.0,-9.0,0.0
2018-01-15,2924,東凌-KY,-6.0,0.0,0.0,0.0,0.0
2018-01-15,2926,誠品生活,0.0,-3.0,0.0,-1.0,0.0
2018-01-15,2928,紅馬-KY,-4.0,0.0,1.0,-31.0,0.0
2018-01-15,3068,美磊,171.0,0.0,-6.0,84.0,0.0
2018-01-15,3071,協禧,5.0,0.0,0.0,40.0,1.0
2018-01-15,3078,僑威,-148.0,0.0,0.0,54.0,4.0
2018-01-15,3081,聯亞,-61.0,-206.935,-39.0,13.0,7.0
2018-01-15,3083,網龍,19.062,0.0,0.0,-14.0,-7.0
2018-01-15,3085,新零售,3.0,0.0,0.0,0.0,0.0
2018-01-15,3088,艾訊,-14.0,0.0,-26.0,17.0,0.0
2018-01-15,3092,鴻碩,-20.0,0.0,-7.0,18.0,26.0
2018-01-15,3093,港建,-1.0,-2.0,0.0,0.0,0.0
2018-01-15,3105,穩懋,1077.6,-634.0,48.0,-732.0,148.0
2018-01-15,3114,好德,20.0,0.0,0.0,16.0,0.0
2018-01-15,3118,進階,1.0,0.0,0.0,56.0,0.0
2018-01-15,3131,弘塑,3.0,0.0,0.0,,
2018-01-15,3141,晶宏,69.0,0.0,0.0,-85.0,-14.0
2018-01-15,3144,新揚科,18.0,0.0,-3.0,-31.0,-4.0
2018-01-15,3152,璟德,11.0,-0.037000000000000005,0.0,0.0,-6.0
2018-01-15,3162,精確,99.0,0.0,0.0,0.0,0.0
2018-01-15,3163,波若威,-44.0,0.0,12.0,-58.0,-16.0
2018-01-15,3169,亞信,-33.0,0.0,0.0,26.0,0.0
2018-01-15,3176,基亞,81.0,0.0,,,
2018-01-15,3188,鑫龍騰,0.0,0.0,0.0,0.0,0.0
2018-01-15,3191,和進,-55.0,0.0,0.0,0.0,0.0
2018-01-15,3202,樺晟,40.0,0.0,0.0,-209.0,-6.0
2018-01-15,3205,佰研,17.0,0.0,2.0,-102.0,-11.0
2018-01-15,3206,志豐,-4.0,0.0,0.0,-46.0,0.0
2018-01-15,3211,順達,-34.0,0.0,0.0,-59.0,0.0
2018-01-15,3213,茂訊,-12.717,0.0,0.0,0.0,1.0
2018-01-15,3217,優群,-13.0,0.0,0.0,-83.0,-3.0
2018-01-15,3218,大學光,36.0,0.0,-43.0,210.0,28.0
2018-01-15,3219,倚強,0.0,0.0,0.0,0.0,0.0
2018-01-15,3221,台嘉碩,-30.0,0.0,0.0,29.0,-21.0
2018-01-15,3224,三顧,22.0,0.0,1.0,43.0,127.0
2018-01-15,3226,至寶電,0.0,0.0,0.0,1.0,0.0
2018-01-15,3227,原相,-55.0,-255.0,0.0,91.0,-71.0
2018-01-15,3232,昱捷,-179.0,0.0,0.0,-103.0,9.0
2018-01-15,3234,光環,128.0,0.0,-144.0,-90.0,-135.0
2018-01-15,3236,千如,-119.0,0.0,0.0,-227.0,34.0
2018-01-15,3252,海灣,0.0,0.0,0.0,-1.0,0.0
2018-01-15,3259,鑫創,-10.0,0.0,0.0,0.0,0.0
2018-01-15,3260,威剛,-1.0,0.0,0.0,99.0,-6.0
2018-01-15,3264,欣銓,-1378.69,1220.0,0.0,547.0,3.0
2018-01-15,3265,台星科,76.0,0.0,0.0,-217.0,-5.0
2018-01-15,3272,東碩,-55.0,0.0,0.0,-7.0,-2.0
2018-01-15,3289,宜特,-47.152,0.0,46.0,13.0,5.0
2018-01-15,3290,東浦,-5.0,0.0,0.0,-177.0,-9.0
2018-01-15,3293,鈊象,19.0,-45.0,0.0,58.0,0.0
2018-01-15,3294,英濟,17.0,0.0,-41.0,-80.0,-11.0
2018-01-15,3299,帛漢,-19.0,0.0,0.0,30.0,0.0
2018-01-15,3310,佳穎,36.0,0.0,0.0,209.0,4.0
2018-01-15,3313,斐成,-16.0,0.0,0.0,87.0,5.0
2018-01-15,3317,尼克森,-11.0,0.0,0.0,49.0,-36.0
2018-01-15,3322,建舜電,-27.0,0.0,0.0,-3.0,0.0
2018-01-15,3323,加百裕,-45.0,0.0,0.0,43.0,-23.0
2018-01-15,3324,雙鴻,4.0,-0.224,0.0,-46.0,-27.0
2018-01-15,3325,旭品,7.0,0.0,0.0,-70.0,0.0
2018-01-15,3354,律勝,-91.0,0.0,-2.0,-70.0,-36.0
2018-01-15,3360,尚立,14.0,0.0,0.0,-64.0,-111.0
2018-01-15,3362,先進光,-27.0,0.0,0.0,120.0,671.0
2018-01-15,3363,上詮,-1.0,0.0,0.0,-1.0,0.0
2018-01-15,3373,熱映,1.0,0.0,0.0,5.0,0.0
2018-01-15,3374,精材,478.0,-405.0,-40.0,-87.0,297.0
2018-01-15,3379,彬台,-1.0,0.0,0.0,16.0,0.0
2018-01-15,3388,崇越電,-1.0,0.0,0.0,0.0,0.0
2018-01-15,3390,旭軟,32.0,0.0,0.0,11.0,-1.0
2018-01-15,3402,漢科,6.0,0.0,0.0,-37.0,0.0
2018-01-15,3426,台興,0.0,3.0,,,
2018-01-15,3428,光燿科,-26.0,0.0,14.0,3.0,8.0
2018-01-15,3438,類比科,10.0,0.0,-2.0,17.0,-2.0
2018-01-15,3441,聯一光,48.0,0.0,0.0,-2.0,30.0
2018-01-15,3452,益通,21.0,0.0,0.0,0.0,0.0
2018-01-15,3455,由田,-33.0,0.0,0.0,14.0,8.0
2018-01-15,3479,安勤,29.0,0.0,0.0,88.0,0.0
2018-01-15,3483,力致,-1.0,0.0,0.0,9.0,0.0
2018-01-15,3484,崧騰,53.0,0.0,0.0,-16.0,-9.0
2018-01-15,3489,森寶,18.0,0.0,0.0,-92.0,11.0
2018-01-15,3490,單井,6.0,0.0,0.0,28.0,-11.0
2018-01-15,3491,昇達科,-15.0,0.0,2.0,6.0,0.0
2018-01-15,3492,長盛,3.0,0.0,0.0,-7.0,-6.0
2018-01-15,3498,陽程,41.0,0.0,-2.0,-6.0,0.0
2018-01-15,3499,環天科,-4.0,0.0,0.0,-43.0,0.0
2018-01-15,3508,位速,212.0,-412.0,0.0,57.0,-43.0
2018-01-15,3512,能緹,4.0,0.0,0.0,-2.0,-20.0
2018-01-15,3520,振維,1.0,0.0,0.0,0.0,0.0
2018-01-15,3521,鴻翊,0.0,0.0,0.0,0.0,0.0
2018-01-15,3522,宏森,0.0,0.0,0.0,-6.0,-9.0
2018-01-15,3526,凡甲,54.0,0.0,-16.0,19.0,36.0
2018-01-15,3527,聚積,-9.8,0.0,0.0,-20.0,3.0
2018-01-15,3529,力旺,16.0,0.0,0.0,7.0,7.0
2018-01-15,3531,先益,2.0,0.0,0.0,33.0,0.0
2018-01-15,3537,堡達,1.0,0.0,0.0,6.0,0.0
2018-01-15,3540,曜越,251.0,0.0,0.0,11.0,7.0
2018-01-15,3541,西柏,3.0,-65.0,-22.0,21.0,-10.0
2018-01-15,3546,宇峻,147.0,0.0,-10.0,-63.0,8.0
