,股票代號,股票名稱,淨流通在外張數
0,1101,台泥,3631883
1,1102,亞泥,2385778
2,1103,嘉泥,636994
3,1104,環泥,495284
4,1108,幸福,367418
5,1109,信大,250011
6,1110,東泥,412445
7,1201,味全,432382
8,1203,味王,185901
9,1210,大成,642527
10,1213,大飲,48622
11,1215,卜蜂,240197
12,1216,統一,4969201
13,1217,愛之味,455625
14,1218,泰山,487392
15,1219,福壽,286877
16,1220,台榮,139767
17,1225,福懋油,202432
18,1227,佳格,885681
19,1229,聯華,712435
20,1231,聯華食,121695
21,1232,大統益,50333
22,1233,天仁,77998
23,1234,黑松,333119
24,1235,興泰,33446
25,1236,宏亞,90285
26,1256,鮮活果汁-KY,12226
27,1258,其祥-KY,20085
28,1259,安心,12220
29,1262,綠悅-KY,163000
30,1264,德麥,25104
31,1268,漢來美食,31446
32,1301,台塑,5415800
33,1303,南亞,6481793
34,1304,台聚,870389
35,1305,華夏,368155
36,1307,三芳,222690
37,1308,亞聚,311481
38,1309,台達化,206464
39,1310,台苯,472548
40,1312,國喬,857357
41,1313,聯成,811988
42,1314,中石化,2629323
43,1315,達新,144992
44,1316,上曜,109472
45,1319,東陽,435793
46,1321,大洋,212873
47,1323,永裕,79635
48,1324,地球,61422
49,1325,恒大,58805
50,1326,台化,5525290
51,1333,恩得利,70451
52,1336,台翰,81035
53,1337,再生-KY,212261
54,1338,廣華-KY,67580
55,1339,昭輝,44063
56,1340,勝悅-KY,126000
57,1402,遠東新,3923097
58,1409,新纖,1523420
59,1410,南染,52494
60,1413,宏洲,89371
61,1414,東和,190479
62,1416,廣豐,171626
63,1417,嘉裕,329676
64,1418,東華,28474
65,1419,新紡,280298
66,1423,利華,143511
67,1432,大魯閣,149561
68,1434,福懋,1034162
69,1435,中福,107930
70,1436,華友聯,58956
71,1437,勤益控,178700
72,1438,裕豐,89812
73,1439,中和,65440
74,1440,南紡,1398908
75,1441,大東,56515
76,1442,名軒,279672
77,1443,立益,115074
78,1444,力麗,777506
79,1445,大宇,119207
80,1446,宏和,123879
81,1447,力鵬,712510
82,1449,佳和,87182
83,1451,年興,178019
84,1452,宏益,116780
85,1453,大將,63345
86,1454,台富,124727
87,1455,集盛,483188
88,1456,怡華,65106
89,1457,宜進,260862
90,1459,聯發,307829
91,1460,宏遠,342879
92,1463,強盛,151145
93,1464,得力,298233
94,1465,偉全,79544
95,1466,聚隆,92445
96,1467,南緯,151141
97,1468,昶和,104278
98,1469,理隆,72975
99,1470,大統染,67234
100,1471,首利,130826
101,1472,三洋紡,37204
102,1473,台南,126718
103,1474,弘裕,111628
104,1475,本盟,10934
105,1476,儒鴻,208214
106,1477,聚陽,186574
107,1503,士電,383403
108,1504,東元,1839163
109,1506,正道,113991
110,1507,永大,353680
111,1512,瑞利,196362
112,1513,中興電,384481
113,1514,亞力,171792
114,1515,力山,159169
115,1516,川飛,21381
116,1517,利奇,206219
117,1519,華城,211454
118,1521,大億,49153
119,1522,堤維西,285881
120,1524,耿鼎,129336
121,1525,江申,15868
122,1526,日馳,32831
123,1527,鑽全,113984
124,1528,恩德,153718
