證券代碼,年月日,流通在外股數(百萬股),董監持股數
1101 台泥,9/20/2019,"5,465","698,766"
1102 亞泥,9/20/2019,"3,361","975,222"
1103 嘉泥,9/20/2019,774,"132,529"
1104 環泥,9/20/2019,653,"157,716"
1108 幸福,9/20/2019,404,"13,411"
1109 信大,9/20/2019,341,"142,784"
1110 東泥,9/20/2019,572,"191,935"
1201 味全,9/20/2019,506,"73,648"
1203 味王,9/20/2019,240,"68,308"
1210 大成,9/20/2019,827,"100,016"
1215 卜蜂,9/20/2019,267,"26,803"
1216 統一,9/20/2019,"5,682","565,130"
1217 愛之味,9/20/2019,494,"34,222"
1218 泰山,9/20/2019,499,"10,190"
1219 福壽,9/20/2019,322,"34,762"
1220 台榮,9/20/2019,177,"38,426"
1225 福懋油,9/20/2019,218,"13,620"
1227 佳格,9/20/2019,915,"29,319"
1229 聯華,9/20/2019,"1,104","265,175"
1231 聯華食,9/20/2019,174,"39,236"
1232 大統益,9/20/2019,159,"108,667"
1233 天仁,9/20/2019,90,"12,002"
1234 黑松,9/20/2019,401,"59,139"
1235 興泰,9/20/2019,87,"41,948"
1236 宏亞,9/20/2019,108,"13,628"
1240 茂生農經,9/20/2019,33,"3,747"
1256 鮮活果汁-KY,9/20/2019,33,"19,335"
1258 其祥-KY,9/20/2019,36,"15,915"
1259 安心,9/20/2019,32,"19,780"
1262 綠悅-KY,9/20/2019,163,0
1264 德麥,9/20/2019,33,"7,908"
1268 漢來美食,9/20/2019,37,"6,183"
1301 台塑,9/20/2019,"6,365","949,363"
1303 南亞,9/20/2019,"7,930","1,446,960"
1304 台聚,9/20/2019,"1,188","173,777"
1305 華夏,9/20/2019,527,"131,591"
1307 三芳,9/20/2019,397,"152,474"
1308 亞聚,9/20/2019,554,"220,976"
1309 台達化,9/20/2019,334,"153,496"
1310 台苯,9/20/2019,527,"32,679"
1312 國喬,9/20/2019,906,"48,643"
1313 聯成,9/20/2019,"1,332","424,750"
1314 中石化,9/20/2019,"2,834","73,160"
1315 達新,9/20/2019,198,"50,356"
1316 上曜,9/20/2019,181,"24,703"
1319 東陽,9/20/2019,591,"151,827"
1321 大洋,9/20/2019,227,"14,127"
1323 永裕,9/20/2019,91,"11,084"
1324 地球,9/20/2019,75,"13,705"
1325 恒大,9/20/2019,85,"26,195"
1326 台化,9/20/2019,"5,861","335,456"
1333 恩得利,9/20/2019,74,"8,622"
1336 台翰,9/20/2019,85,"18,080"
1337 再生-KY,9/20/2019,268,"54,881"
1338 廣華-KY,9/20/2019,83,"14,498"
1339 昭輝,9/20/2019,74,"30,110"
1340 勝悅-KY,9/20/2019,152,0
1341 富林-KY,9/20/2019,49,"16,128"
1402 遠東新,9/20/2019,"5,352","1,439,935"
1409 新纖,9/20/2019,"1,618","94,580"
1410 南染,9/20/2019,72,"19,071"
1413 宏洲,9/20/2019,132,"45,433"
1414 東和,9/20/2019,220,"28,001"
1416 廣豐,9/20/2019,185,"15,417"
1417 嘉裕,9/20/2019,270,"49,324"
1418 東華,9/20/2019,56,"25,899"
1419 新紡,9/20/2019,300,"19,702"
1423 利華,9/20/2019,138,"23,591"
1432 大魯閣,9/20/2019,167,"17,352"
1434 福懋,9/20/2019,"1,684","649,838"
1435 中福,9/20/2019,139,"29,964"
1436 華友聯,9/20/2019,95,"16,583"
1437 勤益控,9/20/2019,203,"15,015"
1438 裕豐,9/20/2019,102,"12,188"
1439 中和,9/20/2019,92,"49,139"
1440 南紡,9/20/2019,"1,656","234,476"
1441 大東,9/20/2019,100,"21,386"
1442 名軒,9/20/2019,302,"15,477"
1443 立益,9/20/2019,135,"22,167"
1444 力麗,9/20/2019,957,"185,595"
